From,To,Year of order,Duration,Quantity,Weapon description,Weight
Italy,Somalia,1960.0,1,3.0,transport aircraft,3.0
Switzerland,Somalia,1968.0,1,1.0,light transport aircraft,2.0
Qatar,Somalia,2018.0,1,68.0,APC,3.0
Egypt,Somalia,1960.0,1,2.0,trainer aircraft,2.0
Turkiye,Somalia,2021.0,1,8.0,APC,3.0
Turkiye,Somalia,2020.0,1,12.0,APC,3.0
Russia,South Africa,2006.0,1,1.0,recce satellite,8.0
France,South Africa,1960.0,2,7.0,light helicopter,2.0
Germany,South Africa,1974.0,6,36.0,ship engine,2.0
Canada,South Africa,1989.0,2,7.0,aircraft engine,2.0
United States,South Africa,2003.0,1,4.0,MP aircraft radar,3.0
Germany,South Africa,1978.0,1,2.0,MCM ship,3.0
Switzerland,South Africa,1997.0,1,1.0,light transport aircraft,2.0
Italy,South Africa,1974.0,6,9.0,fire control radar,3.0
United Kingdom,South Africa,1956.0,1,1.0,frigate,5.0
Ukraine,South Africa,1992.0,1,1.0,support ship,2.0
Switzerland,South Africa,1989.0,1,1.0,light transport aircraft,2.0
United States,South Africa,1986.0,1,1.0,transport aircraft,3.0
Italy,South Africa,1968.0,1,9.0,light transport aircraft,2.0
France,South Africa,1969.0,1,9.0,transport aircraft,3.0
United Kingdom,South Africa,1962.0,1,6.0,bomber aircraft,8.0
United States,South Africa,1962.0,1,7.0,transport aircraft,3.0
France,South Africa,1984.0,1,2.0,helicopter,3.0
France,South Africa,1980.0,1,2.0,helicopter,3.0
Germany,South Africa,2000.0,1,4.0,minesweeper,2.0
United States,South Africa,1996.0,1,1.0,transport aircraft,3.0
United States,South Africa,1995.0,1,2.0,transport aircraft,3.0
Germany,South Africa,1999.0,2,4.0,frigate,5.0
United Kingdom,South Africa,2002.0,2,12.0,trainer/combat aircraft,5.0
Netherlands,South Africa,2018.0,2,2.0,OPV,2.0
Israel,South Africa,1983.0,1,6.0,light aircraft,2.0
Germany,South Africa,1983.0,1,1.0,light helicopter,2.0
Germany,South Africa,2000.0,3,3.0,submarine,8.0
France,South Africa,2000.0,1,17.0,anti-ship missile,8.0
United Kingdom,South Africa,1963.0,2,16.0,bomber aircraft,8.0
United States,South Africa,1954.0,1,34.0,fighter aircraft,8.0
Sweden,South Africa,1999.0,2,9.0,FGA aircraft,8.0
Switzerland,South Africa,1963.0,2,36.0,anti-aircraft gun,3.0
United States,South Africa,2003.0,1,8.0,aircraft engine,2.0
United Kingdom,South Africa,1957.0,2,3.0,patrol craft,2.0
United Kingdom,South Africa,2003.0,1,4.0,helicopter,3.0
France,South Korea,2023.0,1,0.0,portable SAM,3.0
United States,South Korea,2023.0,1,0.0,transport helicopter,3.0
United States,South Korea,2010.0,1,4.0,transport aircraft,3.0
Germany,South Korea,2008.0,6,6.0,submarine,8.0
United States,South Korea,2016.0,1,0.0,air search radar,3.0
United States,South Korea,2005.0,1,8.0,ASW aircraft,5.0
France,South Korea,2016.0,1,4.0,tanker/transport aircraft,3.0
United States,South Korea,2021.0,1,0.0,ASW helicopter,5.0
United States,South Korea,1997.0,2,16.0,aircraft engine,2.0
United States,South Korea,1962.0,1,2.0,tug,1.0
Russia,South Korea,2002.0,2,3.0,landing craft,3.0
Netherlands,South Korea,1999.0,3,3.0,naval gun,3.0
Canada,South Korea,1950.0,1,10.0,trainer aircraft,2.0
United States,South Korea,1974.0,1,14.0,light aircraft,2.0
United States,South Korea,1996.0,1,2.0,support ship,2.0
United States,South Korea,1996.0,2,29.0,self-propelled MRL,5.0
United States,South Korea,1979.0,1,1.0,destroyer,8.0
United States,South Korea,1995.0,1,13.0,self-propelled gun,5.0
United States,South Korea,1974.0,1,19.0,FGA aircraft,8.0
United States,South Korea,1981.0,1,5.0,ASW aircraft,5.0
Netherlands,South Korea,1995.0,2,4.0,naval gun,3.0
United States,South Korea,1994.0,3,3.0,air search radar,3.0
Italy,South Korea,1992.0,3,3.0,naval gun,3.0
Spain,South Korea,1992.0,2,12.0,transport aircraft,3.0
United Kingdom,South Korea,1990.0,2,20.0,trainer/combat aircraft,5.0
United States,South Korea,1989.0,1,30.0,FGA aircraft,8.0
United States,South Korea,1988.0,1,4.0,FGA aircraft,8.0
United States,South Korea,1988.0,2,24.0,FGA aircraft,8.0
United States,South Korea,1987.0,2,24.0,FGA aircraft,8.0
United States,South Korea,1978.0,2,2.0,salvage ship,1.0
United States,South Korea,1973.0,1,2.0,destroyer,8.0
United States,South Korea,1949.0,1,1.0,patrol craft,2.0
United States,South Korea,1985.0,1,4.0,FGA aircraft,8.0
United States,South Korea,1982.0,1,6.0,FGA aircraft,8.0
United States,South Korea,1976.0,1,27.0,ground attack aircraft,8.0
United States,South Korea,2014.0,2,4.0,UAV,3.0
Germany,South Korea,2011.0,3,3.0,ship engine,2.0
United States,South Korea,1955.0,2,2.0,cargo ship,2.0
United States,South Korea,1960.0,1,1.0,cargo ship,2.0
United States,South Korea,2011.0,4,6.0,naval gun,3.0
United States,South Korea,1984.0,1,8.0,aircraft EO system,3.0
Israel,South Korea,2009.0,1,2.0,air search radar,3.0
Netherlands,South Korea,2003.0,1,1.0,air search radar,3.0
United States,South Korea,1995.0,1,275.0,tank,8.0
United States,South Korea,1953.0,1,1.0,frigate,5.0
United States,South Korea,1951.0,1,5.0,cargo ship,2.0
United States,South Korea,1968.0,1,18.0,FGA aircraft,8.0
Germany,South Korea,1997.0,2,12.0,light helicopter,2.0
United States,South Korea,1999.0,3,3.0,naval gun,3.0
Netherlands,South Korea,1999.0,3,6.0,fire control radar,3.0
Netherlands,South Korea,1999.0,3,3.0,air search radar,3.0
Netherlands,South Korea,1994.0,3,3.0,air search radar,3.0
Germany,South Korea,1994.0,3,3.0,submarine,8.0
United States,South Korea,1978.0,1,14.0,FGA aircraft,8.0
United Kingdom,South Korea,2012.0,1,1.0,gas turbine,2.0
United Kingdom,South Korea,2017.0,1,3.0,gas turbine,2.0
United States,South Korea,1977.0,1,2.0,destroyer,8.0
Russia,South Korea,1995.0,2,33.0,tank,8.0
United States,South Korea,1966.0,2,3.0,frigate,5.0
United States,South Korea,1984.0,1,20.0,helicopter,3.0
Germany,South Korea,1987.0,3,3.0,submarine,8.0
Israel,South Korea,2023.0,1,0.0,AEW radar,3.0
Germany,South Korea,1989.0,2,3.0,submarine,8.0
United States,South Korea,1972.0,1,2.0,destroyer,8.0
United States,South Korea,1971.0,1,1.0,patrol craft,2.0
United States,South Korea,1950.0,2,4.0,frigate,5.0
United States,South Korea,1972.0,1,18.0,FGA aircraft,8.0
United States,South Korea,1996.0,1,30.0,trainer aircraft,2.0
United States,South Korea,1950.0,1,4.0,patrol craft,2.0
United States,South Korea,2018.0,1,0.0,ASW aircraft,5.0
Indonesia,South Korea,1997.0,2,8.0,transport aircraft,3.0
Sweden,South Korea,2005.0,6,18.0,fire control radar,3.0
United States,South Korea,2006.0,2,4.0,AEW&C aircraft,8.0
Germany,South Korea,2000.0,3,3.0,submarine,8.0
United States,South Korea,2008.0,3,21.0,FGA aircraft,8.0
Germany,South Korea,2018.0,2,90.0,ASM,8.0
United Kingdom,South Korea,2013.0,1,8.0,ASW helicopter,5.0
United States,South Korea,1968.0,3,47.0,FGA aircraft,8.0
United States,South Korea,1979.0,2,4.0,ASW sonar,3.0
Netherlands,South Korea,2003.0,4,5.0,naval gun,3.0
United States,South Korea,2002.0,3,3.0,naval SAM system,5.0
United States,South Korea,1978.0,1,341.0,BVRAAM,8.0
United States,South Korea,2023.0,1,0.0,FGA aircraft,8.0
United States,South Korea,1974.0,1,19.0,FGA aircraft,8.0
United States,South Korea,1992.0,2,24.0,aircraft engine,2.0
France,South Korea,2021.0,1,0.0,transport aircraft,3.0
United States,South Korea,2022.0,1,0.0,naval gun,3.0
Canada,South Korea,2023.0,1,0.0,transport aircraft,3.0
Russia,South Sudan,2007.0,1,9.0,transport helicopter,3.0
United States,South Vietnam,1960.0,1,25.0,ground attack aircraft,8.0
France,South Vietnam,1954.0,1,4.0,landing craft,3.0
United States,South Vietnam,1970.0,1,1.0,trainer aircraft,2.0
United States,South Vietnam,1962.0,2,4.0,minesweeper,2.0
United States,South Vietnam,1970.0,2,7.0,OPV/support ship,2.0
Iran,South Vietnam,1972.0,1,30.0,FGA aircraft,8.0
South Korea,South Vietnam,1972.0,1,44.0,FGA aircraft,8.0
United States,South Vietnam,1957.0,1,10.0,helicopter,3.0
United States,South Vietnam,1955.0,1,60.0,light aircraft,2.0
Taiwan,South Vietnam,1972.0,1,48.0,FGA aircraft,8.0
United Kingdom,South Yemen,1967.0,1,3.0,minesweeper,2.0
Soviet Union,South Yemen,1979.0,2,24.0,transport helicopter,3.0
Ethiopia,South Yemen,1987.0,1,3.0,FAC,3.0
Moldova,Southern rebels (Yemen)*,1994.0,1,7.0,self-propelled MRL,5.0
Bulgaria,Southern rebels (Yemen)*,1994.0,1,56.0,tank,8.0
East Germany (GDR),Soviet Union,1960.0,1,1.0,SIGINT ship,3.0
Poland,Soviet Union,1974.0,3,3.0,training ship,2.0
Denmark,Spain,1991.0,1,2.0,ship engine,2.0
United Kingdom,Spain,1992.0,2,4.0,minehunter,3.0
United States,Spain,2019.0,1,0.0,air search radar,3.0
United States,Spain,2019.0,1,0.0,gas turbine,2.0
Germany,Spain,2019.0,1,0.0,ship engine,2.0
Norway,Spain,1988.0,2,5.0,ASW aircraft,5.0
Germany,Spain,1995.0,2,108.0,tank,8.0
France,Spain,2019.0,1,0.0,ASW sonar,3.0
Israel,Spain,2023.0,1,0.0,guided rocket,3.0
United States,Spain,2016.0,2,4.0,armed UAV,5.0
United States,Spain,2015.0,1,19.0,SAM,5.0
Israel,Spain,2023.0,1,0.0,SSM,8.0
Israel,Spain,2023.0,1,0.0,guided rocket/SSM,5.0
Switzerland,Spain,2020.0,1,0.0,IFV,5.0
United States,Spain,2023.0,1,0.0,ASW helicopter,5.0
United States,Spain,2022.0,1,0.0,BVRAAM,8.0
France,Spain,2020.0,1,91.0,portable SAM,3.0
United States,Spain,2023.0,1,0.0,transport helicopter,3.0
United States,Spain,1997.0,2,19.0,vehicle engine,2.0
United States,Spain,2004.0,1,1.0,gas turbine,2.0
United States,Spain,2005.0,1,1.0,air search radar,3.0
Canada,Spain,1978.0,1,3.0,MP aircraft radar,3.0
Germany,Spain,2005.0,4,43.0,ASM,8.0
United States,Spain,1956.0,1,1.0,patrol craft,2.0
Italy,Spain,1980.0,1,6.0,helicopter,3.0
United States,Spain,1964.0,1,6.0,helicopter,3.0
Germany,Spain,1971.0,1,26.0,light transport aircraft,2.0
United Kingdom,Spain,1985.0,1,1.0,air search radar,3.0
United States,Spain,1995.0,1,6.0,reconnaissance aircraft,3.0
United States,Spain,1968.0,1,4.0,SAM,5.0
United States,Spain,1991.0,3,64.0,self-propelled gun,5.0
United States,Spain,1991.0,3,8.0,helicopter,3.0
United States,Spain,1972.0,1,3.0,ASW aircraft,5.0
United States,Spain,2000.0,2,6.0,ASW helicopter,5.0
United States,Spain,1990.0,1,80.0,anti-radar missile,5.0
United States,Spain,1972.0,1,2.0,landing craft,3.0
United Kingdom,Spain,1977.0,1,5.0,FGA aircraft,8.0
United States,Spain,1971.0,1,1.0,AALS,1.0
United Kingdom,Spain,1985.0,1,17.0,light tank,5.0
United States,Spain,1984.0,2,6.0,ASW helicopter,5.0
United States,Spain,1980.0,1,3.0,transport helicopter,3.0
United States,Spain,1978.0,1,4.0,reconnaissance aircraft,3.0
United States,Spain,1975.0,1,3.0,transport helicopter,3.0
Netherlands,Spain,1978.0,1,3.0,maritime patrol aircraft,3.0
United States,Spain,1979.0,1,100.0,BVRAAM,8.0
Italy,Spain,2007.0,1,4.0,APC,3.0
France,Spain,2007.0,2,2.0,transport helicopter,3.0
United States,Spain,1999.0,5,5.0,naval gun,3.0
France,Spain,1977.0,1,10.0,FGA aircraft,8.0
France,Spain,1973.0,1,15.0,FGA aircraft,8.0
South Africa,Spain,2008.0,2,100.0,APC,3.0
United States,Spain,1993.0,2,8.0,FGA aircraft,8.0
Italy,Spain,2009.0,1,15.0,APV,3.0
Italy,Spain,2008.0,1,80.0,APV,3.0
Italy,Spain,2007.0,1,40.0,APV,3.0
United States,Spain,1980.0,1,2.0,AALS,1.0
United States,Spain,1953.0,1,12.0,tank,8.0
United States,Spain,1954.0,2,2.0,minesweeper,2.0
United States,Spain,1954.0,5,10.0,minesweeper,2.0
United States,Spain,1957.0,3,5.0,destroyer,8.0
United States,Spain,1994.0,2,4.0,ship engine,2.0
Italy,Spain,2002.0,4,62.0,AFSV,3.0
Germany,Spain,1973.0,2,6.0,patrol craft,2.0
Germany,Spain,1953.0,1,2.0,light aircraft,2.0
France,Spain,1970.0,1,2.0,submarine,8.0
France,Spain,1977.0,2,2.0,submarine,8.0
France,Spain,1966.0,1,2.0,submarine,8.0
Norway,Spain,2023.0,1,0.0,anti-ship missile,8.0
Germany,Spain,2014.0,1,4.0,ship engine,2.0
Germany,Spain,2006.0,2,8.0,ship engine,2.0
France,Spain,2016.0,1,1.0,transport helicopter,3.0
Switzerland,Spain,2020.0,2,24.0,trainer aircraft,2.0
United States,Spain,2014.0,1,14.0,APC,3.0
United States,Spain,1986.0,1,1.0,frigate,5.0
France,Spain,1975.0,1,2.0,submarine,8.0
United States,Spain,1977.0,3,3.0,frigate,5.0
United States,Spain,1990.0,1,2.0,frigate,5.0
United States,Spain,1983.0,1,2.0,light transport aircraft,2.0
United States,Spain,1966.0,4,5.0,frigate,5.0
France,Spain,1994.0,2,5.0,FGA aircraft,8.0
Germany,Spain,1995.0,1,1.0,tank,8.0
United States,Spain,1994.0,2,2.0,landing ship,5.0
France,Spain,1994.0,2,12.0,FGA aircraft,8.0
Germany,Spain,2015.0,1,2.0,SAM system,5.0
Germany,Spain,2004.0,1,1.0,SAM system,5.0
Italy,Spain,2019.0,1,0.0,naval gun,3.0
United States,Spain,1972.0,2,5.0,destroyer,8.0
Switzerland,Spain,2020.0,1,7.0,APC,3.0
Germany,Spain,1992.0,1,1.0,support ship,2.0
United States,Spain,2006.0,1,1.0,naval SAM system,5.0
Germany,Spain,1972.0,3,6.0,patrol craft,2.0
Germany,Spain,2004.0,1,2.0,ship engine,2.0
United States,Spain,1996.0,5,10.0,gas turbine,2.0
United States,Spain,1996.0,4,4.0,air search radar,3.0
United States,Spain,1996.0,5,5.0,ASW sonar,3.0
Israel,Spain,2023.0,1,0.0,self-propelled MRL,5.0
Israel,Spain,2023.0,1,0.0,anti-tank missile,5.0
Italy,Spain,2019.0,1,0.0,transport helicopter,3.0
United States,Spain,2017.0,1,2.0,transport helicopter,3.0
Switzerland,Spain,2023.0,1,0.0,trainer aircraft,2.0
France,Spain,2023.0,1,0.0,portable SAM,3.0
China,Sri Lanka,1990.0,1,3.0,light transport aircraft,2.0
China,Sri Lanka,2023.0,1,2.0,light transport aircraft,2.0
United States,Sri Lanka,2018.0,1,1.0,OPV,2.0
China,Sri Lanka,2016.0,1,6.0,trainer aircraft,2.0
United States,Sri Lanka,2021.0,1,1.0,OPV,2.0
United States,Sri Lanka,1985.0,1,1.0,light transport aircraft,2.0
United States,Sri Lanka,2000.0,1,1.0,AGS aircraft,3.0
France,Sri Lanka,1990.0,2,8.0,aircraft engine,2.0
Israel,Sri Lanka,2000.0,1,4.0,FGA aircraft,8.0
India,Sri Lanka,2000.0,1,1.0,OPV,2.0
Singapore,Sri Lanka,1986.0,1,2.0,transport craft,2.0
unknown supplier(s),Sri Lanka,1983.0,1,2.0,light aircraft,2.0
China,Sri Lanka,1994.0,1,1.0,patrol craft,2.0
China,Sri Lanka,1994.0,1,1.0,landing ship,5.0
Czechia,Sri Lanka,2000.0,1,2.0,armoured bridgelayer,2.0
China,Sri Lanka,1994.0,1,3.0,patrol craft,2.0
Ukraine,Sri Lanka,1995.0,1,3.0,transport aircraft,3.0
Russia,Sri Lanka,1992.0,1,3.0,transport helicopter,3.0
Argentina,Sri Lanka,1992.0,2,4.0,ground attack aircraft,8.0
United Kingdom,Sri Lanka,1991.0,1,2.0,transport aircraft,3.0
Czechoslovakia,Sri Lanka,1991.0,1,27.0,tank,8.0
China,Sri Lanka,1990.0,1,2.0,trainer aircraft,2.0
China,Sri Lanka,1990.0,1,5.0,fighter aircraft,8.0
China,Sri Lanka,1991.0,2,3.0,patrol craft,2.0
Italy,Sri Lanka,1989.0,1,2.0,trainer aircraft,2.0
United States,Sri Lanka,1985.0,1,4.0,helicopter,3.0
United Kingdom,Sri Lanka,1958.0,1,1.0,minesweeper,2.0
Soviet Union,Sri Lanka,1975.0,1,1.0,patrol craft,2.0
Israel,Sri Lanka,1958.0,1,2.0,frigate,5.0
Singapore,Sri Lanka,1984.0,1,3.0,support ship,2.0
Singapore,Sri Lanka,1985.0,1,2.0,landing craft,3.0
Singapore,Sri Lanka,1984.0,1,3.0,cargo ship,2.0
Italy,Sri Lanka,1985.0,1,6.0,trainer aircraft,2.0
United States,Sri Lanka,1984.0,1,2.0,light helicopter,2.0
Ukraine,Sri Lanka,2000.0,2,7.0,combat helicopter,5.0
United States,Sri Lanka,1977.0,1,1.0,trainer aircraft,2.0
Israel,Sri Lanka,2009.0,2,6.0,patrol craft,2.0
Israel,Sri Lanka,1995.0,2,4.0,patrol craft,2.0
India,Sri Lanka,2008.0,1,1.0,OPV,2.0
United States,Sri Lanka,2004.0,1,1.0,OPV,2.0
India,Sri Lanka,2007.0,1,1.0,OPV,2.0
Czechia,Sri Lanka,2000.0,2,16.0,self-propelled MRL,5.0
United States,Sri Lanka,1971.0,1,6.0,light helicopter,2.0
Soviet Union,Sri Lanka,1971.0,1,5.0,fighter aircraft,8.0
Soviet Union,Sri Lanka,1971.0,1,2.0,light helicopter,2.0
Soviet Union,Sri Lanka,1971.0,1,1.0,trainer aircraft,2.0
Singapore,Sri Lanka,1990.0,2,2.0,landing craft,3.0
India,Sri Lanka,2007.0,1,2.0,air search radar,3.0
India,Sri Lanka,2005.0,1,2.0,air search radar,3.0
China,Sri Lanka,2016.0,1,1.0,frigate,5.0
United States,Sri Lanka,2000.0,1,2.0,helicopter,3.0
United States,Sri Lanka,1984.0,1,2.0,helicopter,3.0
India,Sri Lanka,2014.0,2,2.0,OPV,2.0
France,Sri Lanka,1977.0,1,2.0,helicopter,3.0
Ukraine,Sri Lanka,2006.0,1,4.0,FGA aircraft,8.0
Ukraine,Sri Lanka,2000.0,1,4.0,FGA aircraft,8.0
Ukraine,Sri Lanka,2000.0,1,3.0,FGA aircraft,8.0
Ukraine,Sri Lanka,1995.0,1,3.0,combat helicopter,5.0
Russia,Sudan,2002.0,2,12.0,FGA aircraft,8.0
Romania,Sudan,1984.0,1,5.0,helicopter,3.0
China,Sudan,1991.0,1,2.0,transport aircraft,3.0
Switzerland,Sudan,1967.0,2,8.0,light transport aircraft,2.0
Netherlands,Sudan,1964.0,1,4.0,transport aircraft,3.0
Italy,Sudan,1984.0,2,6.0,helicopter,3.0
United States,Sudan,1982.0,1,2.0,APC,3.0
United States,Sudan,1980.0,1,8.0,self-propelled AA gun,5.0
United States,Sudan,1976.0,1,6.0,transport aircraft,3.0
Russia,Sudan,2009.0,1,4.0,transport helicopter,3.0
Russia,Sudan,2017.0,1,6.0,vehicle engine,2.0
Belarus,Sudan,2017.0,1,6.0,APC,3.0
Saudi Arabia,Sudan,1981.0,1,17.0,tank,8.0
Yugoslavia,Sudan,1969.0,1,1.0,tanker,2.0
Yugoslavia,Sudan,1969.0,1,2.0,landing craft,3.0
Canada,Sudan,1977.0,2,4.0,transport aircraft,3.0
Spain,Suriname,1997.0,1,1.0,maritime patrol aircraft,3.0
United States,Suriname,1997.0,1,1.0,MP aircraft radar,3.0
Spain,Suriname,1997.0,1,1.0,transport aircraft,3.0
Venezuela,Suriname,1986.0,1,1.0,light helicopter,2.0
Germany,Suriname,2000.0,1,1.0,tug,1.0
Spain,Suriname,1997.0,1,3.0,patrol craft,2.0
Netherlands,Suriname,1975.0,1,5.0,APC,3.0
France,Suriname,2012.0,1,1.0,patrol craft,2.0
Netherlands,Suriname,1975.0,2,3.0,patrol craft,2.0
United Kingdom,Sweden,2023.0,1,0.0,SAM,5.0
Spain,Sweden,1985.0,1,3.0,maritime patrol aircraft,3.0
Spain,Sweden,1990.0,1,1.0,maritime patrol aircraft,3.0
Canada,Sweden,2022.0,1,0.0,transport aircraft,3.0
Norway,Sweden,1992.0,1,1.0,cargo ship,2.0
Germany,Sweden,2022.0,1,0.0,turbofan,2.0
United Kingdom,Sweden,2022.0,1,0.0,MP aircraft radar,3.0
France,Sweden,2023.0,1,1.0,light transport aircraft,2.0
France,Sweden,2023.0,1,0.0,anti-tank missile,5.0
Netherlands,Sweden,2023.0,1,0.0,air/sea search radar,3.0
United States,Sweden,1951.0,1,1.0,light transport aircraft,2.0
Germany,Sweden,1975.0,5,32.0,ship engine,2.0
Norway,Sweden,1981.0,1,2.0,ASW sonar,3.0
Australia,Sweden,2003.0,1,2.0,transport aircraft,3.0
United States,Sweden,1965.0,1,2.0,helicopter,3.0
United States,Sweden,2002.0,2,5.0,MP aircraft radar,3.0
Switzerland,Sweden,2000.0,1,5.0,APC,3.0
United States,Sweden,1990.0,1,1.0,MP aircraft radar,3.0
Estonia,Sweden,1996.0,1,1.0,survey ship,1.0
United Kingdom,Sweden,1992.0,1,1.0,salvage ship,1.0
Iceland,Sweden,1993.0,1,1.0,transport ship,2.0
Switzerland,Sweden,1996.0,2,3.0,APC,3.0
United States,Sweden,1985.0,1,3.0,MP aircraft radar,3.0
United States,Sweden,1980.0,1,2.0,transport aircraft,3.0
France,Sweden,1993.0,2,2.0,transport helicopter,3.0
United States,Sweden,1992.0,1,2.0,light transport aircraft,2.0
Germany,Sweden,1991.0,1,5.0,APC,3.0
Germany,Sweden,1993.0,3,15.0,IFV,5.0
United States,Sweden,1982.0,1,10.0,light helicopter,2.0
United States,Sweden,1980.0,1,3.0,transport aircraft,3.0
United States,Sweden,1968.0,1,1.0,transport aircraft,3.0
Norway,Sweden,1975.0,5,16.0,FAC,3.0
South Africa,Sweden,2009.0,1,60.0,APV,3.0
United States,Sweden,1963.0,2,3.0,ASW helicopter,5.0
Italy,Sweden,1973.0,2,2.0,air search radar,3.0
Italy,Sweden,1969.0,2,4.0,air search radar,3.0
United States,Sweden,2010.0,1,8.0,UAV,3.0
Italy,Sweden,1968.0,1,2.0,air search radar,3.0
Switzerland,Sweden,1988.0,1,19.0,ARV,2.0
United Kingdom,Sweden,1952.0,1,80.0,tank,8.0
United States,Sweden,2000.0,1,1.0,light transport aircraft,2.0
United States,Sweden,1969.0,1,1.0,ASW helicopter,5.0
Finland,Sweden,2010.0,2,113.0,APC,3.0
Germany,Sweden,2021.0,1,7.0,trainer aircraft,2.0
Poland,Sweden,2017.0,1,1.0,support ship,2.0
Germany,Sweden,2001.0,3,5.0,ASW helicopter,5.0
United States,Sweden,2023.0,1,0.0,BVRAAM,8.0
United States,Sweden,2018.0,2,4.0,SAM system,5.0
United States,Switzerland,2021.0,1,0.0,SAM system,5.0
United States,Switzerland,2003.0,1,24.0,air search radar,3.0
United States,Switzerland,1964.0,2,4.0,light aircraft,2.0
United States,Switzerland,1952.0,1,2.0,light aircraft,2.0
United States,Switzerland,1951.0,1,1.0,light transport aircraft,2.0
France,Switzerland,1972.0,1,1.0,FGA aircraft,8.0
France,Switzerland,1980.0,1,2.0,FGA aircraft,8.0
United States,Switzerland,2012.0,1,1.0,light aircraft/UAV,2.0
Germany,Switzerland,2006.0,2,18.0,light helicopter,2.0
United Kingdom,Switzerland,1987.0,3,20.0,trainer/combat aircraft,5.0
Germany,Switzerland,2007.0,1,1.0,light transport aircraft,2.0
United Kingdom,Switzerland,1957.0,1,1.0,fighter aircraft,8.0
United States,Switzerland,2021.0,1,0.0,FGA aircraft,8.0
United States,Switzerland,2023.0,1,0.0,ABM missile,8.0
Slovakia,Syria,1992.0,1,58.0,tank,8.0
Spain,Syria,1965.0,1,6.0,tank destroyer,5.0
Spain,Syria,1965.0,1,17.0,tank,8.0
Russia,Syria,1991.0,2,139.0,vehicle engine,2.0
Czechoslovakia,Syria,1973.0,1,8.0,fighter aircraft,8.0
France,Syria,1950.0,1,6.0,tank destroyer,5.0
Czechoslovakia,Syria,1955.0,1,12.0,tank destroyer,5.0
Poland,Syria,1973.0,1,12.0,fighter aircraft,8.0
Bulgaria,Syria,1992.0,1,210.0,mortar,2.0
Soviet Union,Syria,1974.0,1,3.0,FAC,3.0
United Kingdom,Syria,1952.0,1,2.0,fighter aircraft,8.0
Pakistan,Syria,1994.0,1,6.0,trainer aircraft,2.0
United Kingdom,Syria,1950.0,1,40.0,fighter aircraft,8.0
France,Syria,1950.0,1,5.0,self-propelled gun,5.0
United States,Taiwan,1995.0,3,6.0,naval gun,3.0
United States,Taiwan,2022.0,1,0.0,UAV,3.0
United States,Taiwan,2021.0,1,0.0,anti-ship missile/SSM,8.0
United States,Taiwan,2019.0,1,0.0,anti-tank missile,5.0
United States,Taiwan,2021.0,1,0.0,coastal defence system,8.0
United States,Taiwan,1960.0,1,65.0,fighter aircraft,8.0
United States,Taiwan,1977.0,2,2.0,FAC,3.0
United States,Taiwan,2021.0,1,0.0,self-propelled MRL,5.0
United States,Taiwan,1960.0,1,1.0,AALS,1.0
United States,Taiwan,2019.0,1,2.0,tank,8.0
France,Taiwan,1999.0,1,1.0,recce satellite,8.0
United States,Taiwan,1985.0,1,1.0,AALS,1.0
Israel,Taiwan,1999.0,1,1.0,light aircraft,2.0
United States,Taiwan,1999.0,1,2.0,AEW&C aircraft,8.0
United States,Taiwan,1974.0,1,2.0,destroyer,8.0
United States,Taiwan,1990.0,1,3.0,tug,1.0
United States,Taiwan,1994.0,1,4.0,minesweeper,2.0
United States,Taiwan,1978.0,1,1.0,tug,1.0
United States,Taiwan,1974.0,1,1.0,tug,1.0
United States,Taiwan,1968.0,1,1.0,tug,1.0
United States,Taiwan,1962.0,1,1.0,tug,1.0
United States,Taiwan,1972.0,1,1.0,tanker,2.0
United States,Taiwan,1972.0,1,96.0,SAM,5.0
United States,Taiwan,1977.0,1,82.0,SAM,5.0
United States,Taiwan,1983.0,1,2.0,destroyer,8.0
United States,Taiwan,1972.0,1,45.0,self-propelled AA gun,5.0
United States,Taiwan,1975.0,1,23.0,self-propelled AA gun,5.0
France,Taiwan,1995.0,3,6.0,naval gun,3.0
United States,Taiwan,1973.0,1,3.0,destroyer,8.0
United States,Taiwan,1971.0,1,1.0,destroyer,8.0
United States,Taiwan,1971.0,1,1.0,destroyer,8.0
United States,Taiwan,1983.0,1,3.0,transport helicopter,3.0
United States,Taiwan,1969.0,1,1.0,frigate,5.0
United States,Taiwan,1965.0,1,10.0,ASW aircraft,5.0
United States,Taiwan,1965.0,1,1.0,frigate/landing ship,5.0
United States,Taiwan,1984.0,1,12.0,transport aircraft,3.0
Netherlands,Taiwan,1981.0,2,2.0,submarine,8.0
United States,Taiwan,1981.0,1,2.0,destroyer,8.0
United States,Taiwan,1977.0,1,3.0,destroyer,8.0
United States,Taiwan,1990.0,1,1.0,transport aircraft,3.0
United States,Taiwan,1968.0,2,36.0,trainer aircraft,2.0
United States,Taiwan,1990.0,1,1.0,aircraft engine,2.0
United States,Taiwan,1961.0,1,4.0,fighter aircraft,8.0
United States,Taiwan,1959.0,1,15.0,fighter aircraft,8.0
United States,Taiwan,1999.0,1,1.0,AALS,1.0
France,Taiwan,1992.0,2,60.0,FGA aircraft,8.0
United States,Taiwan,1978.0,1,1.0,destroyer,8.0
United States,Taiwan,1972.0,1,1.0,destroyer,8.0
United States,Taiwan,1998.0,1,2.0,frigate,5.0
United States,Taiwan,1961.0,1,1.0,tanker,2.0
United States,Taiwan,1971.0,1,1.0,tanker,2.0
United States,Taiwan,1987.0,3,12.0,light transport aircraft,2.0
